C0445117;Neoplasm present
C0694878;Patients
C0221353;Malignant neoplasm of sigmoid colon
C2700343;Genes
C0030851;Edema
C0694872;Mutation
C0919289;Growth
C1414968;Neoplasms
C1859539;Progressive liver disease
C0271650;Diabetes Mellitus
C4264481;Participant
C0003261;Immunoblotting
C1426941;protein expression
C0235996;Patients
C0920269;cancer recurrence
C1148673;Antibiotics
C0450139;Jejunum
C0728747;Overall Response
C0221366;Embryonic cyst of Gartner's duct
C0030842;Vancomycin
C1859543;Current Therapy
C0003250;Mus
C0475411;Local excision
C0030847;Biopsy
C0016522;Foramen Ovale Patent
C1174905;ERK Signal Tranduction Pathway
C0487470;aggressive cancer
C0245382;Glycoproteins
C1149946;Calcineurin activity
C0872169;Giant cell hyaline angiopathy
C0003209;Colonic lesion
C0042815;Visual Analog Pain Scale
C0872165;Enteroaggregative Escherichia coli
C0524865;Perineal Trauma
C0003205;Septicemia
C0005863;CFLAR protein human
C0524869;O(6)-Methylguanine-DNA Methyltransferase
C0077404;Extracellular
C0920283;USP11 gene
C1414900;PAWR gene
C3843156;Esophagus
C0440786;Augmented bladder
C0233397;Patients
C0872173;functional disability
C0450119;Rectus Abdominis
C1150946;Human tissue
C0440790;Accumulation
C0016533;Forceps
C0017861;Glycerin
C0728725;Low pH
C0450113;Gluteal
C4289797;Antibodies Anti-Idiotypic
C0524851;Homologous Gene
C0524850;Surgical Manipulation
C0004525;Apoptosis
C0920274;Signal Transduction Pathways
C1556095;Korean race
C1414917;Adenocarcinoma
C0401181;Metastatic Renal Cell Cancer
C0439775;Aspartate Transaminase
C1750186;Bcl-2 Activity
C0256022;Cholangiocarcinoma
C0030827;Clostridium perfringens
C0016536;Male population group
C1655760;Cohort
C1426905;Stomach Carcinoma
C1150957;Growth
C0221391;Anthraquinone glycoside
C0221390;Non-Bacterial Thrombotic Endocarditis
C1148636;Lipid Binding
C0246694;pro-apoptosis
C0005889;Intestinal Secretions
C1556085;german race
C0005885;tomography
C4035673;Secondary malignant neoplasm of lymph node
C3641907;Immobilization
C0017837;Tumor cells malignant
C0256015;protein kinase C gamma
C0016504;Hypesthesia
C4047662;Colon structure (body structure)
C1568042;Paclitaxel
C0064113;Antifungal Agents
C4045009;Colorectal Carcinoma
C1823570;Body tissue
C0425152;Community
C1823571;Ubiquitination
C0523503;Chronic Obstructive Airway Disease
C0524832;Lung excision
C0003211;Myocardial Infarction
C0005874;Blushing
C0920298;Patients
C0259990;Advanced Malignant Solid Neoplasm
C0077415;Pharmaceutical Preparations
C1413603;Childhood Solid Neoplasm
C0066772;ENPP2 gene
C0439792;Natural Killer Cells
C0440779;Macrophage Activation Syndrome
C0259901;Empowered
C0259902;Gastrulation
C0053471;Colorectal Carcinoma
C0898753;SAFB protein human
C0861461;Surgical Procedures Laparoscopic
C0005821;Blood Platelets
C0304119;Staphylococcus aureus
C0162597;aerobic glycolysis
C0162596;Patients
C0162595;Antibodies Anticardiolipin
C3880144;Disease
C4277707;Oxygen Radical Absorbance Capacity
C4277709;Malignant tumor of cervix
C0017817;NAA50 gene
C0017822;human cell line
C0597815;Chronic disease
C4035627;Malignant tumor of colon
C2169178;irradiation modality
C4035626;high-risk group
C0210657;Treatment Protocols
C1016955;Plant seeds
C0004519;Mus
C0524889;erbB-2 Receptor
C0005847;Physical findings
C1172384;BZW2 gene
C0392676;Patients
C0522224;Pharmacotherapy
C0392674;SIRT6 gene
C0222603;Malignant Neoplasms
C0162578;Tumor thrombus
C0005842;Anemia
C0005841;CD69 protein human
C0222605;Mass of body structure
C0162574;Neoplastic Cell Transformation
C0222600;Lymphoma Non-Hodgkin
C0222601;Single lesion
C1122087;adalimumab
C0199850;Malignant Neoplasms
C0559546;Immune System Processes
C2169187;Immobilization
C0222607;Kidney
C1519052;trastuzumab
C2931758;nivolumab
C1519050;Phosphatidylinositide 3-Kinase Inhibitor
C0175898;Colorectal Carcinoma
C0005839;Endothelial Cells
C3494192;Arteries
C3494197;Tumor cells malignant
C0474166;Symptoms
C3542289;Body tissue
C3494163;Hospitals
C0208355;Muscle
C1328504;Proton Therapy
C0162557;Benign Neoplasm
C0235974;World
C0450184;Intussusception
C0850760;cardiovascular problem
C0149566;Anatomic Site
C4024983;Renal pelvic carcinoma
C0318711;Child
C4264438;Compound heterozygous
C0247952;Administration Topical
C1158013;Nonsense Mediated mRNA Decay
C3494179;Tumor Microenvironment
C4277731;Autophagy-Related Proteins
C4277735;Operative Surgical Procedures
C0235982;Biliary Tract Cancer
C4264446;Transverse colon
C0475468;Adenocarcinoma metastatic
C1159372;Growth
C4289741;Continent Urinary Diversion
C0076172;cytotoxicity
C4264447;Poorly cohesive carcinoma
C0162535;electrical resistance
C0222647;Round cell tumor
C0163868;Decreased Immunologic Activity [PE]
C0475463;Colorectal Carcinoma
C0475466;Veins
C2169144;Insertion of pack into vagina
C4264454;Low-Frequency Microsatellite Instability
C0561837;Patients
C0235969;Patients
C0389071;Enzyme-Linked Immunosorbent Assay
C1872549;karavilagenin B
C1658773;centrosome duplication
C0548471;Reconstructive Surgical Procedures
C1417778;Patients
C0272285;Intestines
C1442738;Malignant Neoplasms
C1416447;phosphatidylinositol 3-kinase signaling
C3273087;Patients
C1417771;fibrogenesis
C1415113;Cell Survival
C0585418;decompression tubes
C0079225;colon growth
C0814997;Crypt
C0887909;RNA
C0103405;Colon Carcinoma
C0103404;Adenoma
C1416450;Anoxia
C0031272;Homo sapiens
C0332441;Normal tissue morphology
C1416457;Digestive System Neuroendocrine Neoplasm
C0056593;E2F3 gene
C0079218;Mass of body structure
C0332448;Prognosis good
C0597415;Colorectal Carcinoma
C0332447;Morphologically abnormal structure (morphologic abnormality)
C0080202;Direction
C0043251;Splenectomy
C0043250;Chronic diarrhea
C0068570;Signal Transduction
C2322705;Neoplasms
C0849640;skin damage
C0043246;Jejunum
C0574785;Symptoms
C0032594;Refractory Neoplasm
C1442759;Secondary malignant neoplasm of lung
C0018284;Neuregulins
C1416467;SMARCE1 gene
C0018282;Mus
C0260271;Inflammatory Bowel Diseases
C0082896;Wild Type
C1861172;apixaban
C0343101;Patients
C0043242;Superficial abrasion
C0127400;Mediator brand of benfluorex hydrochloride
C0043241;Pelvic abscess
C0043240;Epithelial proliferation
C0031268;Pet Animal
C0031269;Autosomal dominant hereditary disorder
C0850639;Melanosis coli
C1428445;Mitosis
C1416473;macrophage
C0032580;Metachronous Malignant Neoplasm
C0812309;LTB gene
C1416471;cancer therapy
C0598720;RNA Transport
C0032584;Melanosis coli
C0018296;MTOR gene
C0740178;Laboratory
C0332461;Cecum
C0079238;Digestive System Fistula
C1441416;Prostate volume
C0031256;Petechiae
C3549289;Myeloid-Derived Suppressor Cells
C0812306;Tamoxifen
C1416405;Renal Cell Carcinoma
C0019593;Postmenopausal state
C0285558;Ubiquitination
C1416402;Liver carcinoma
C0332472;Hepatocarcinogenesis
C1416401;Inflammatory disorder
C1620114;Malignant Neoplasms
C0020580;Symptoms
C0332479;Invariant Natural Killer T-Cells
C0031246;Surgical repair
C2826609;Crypt
C0006290;Sarcoidosis
C0548441;General Anesthesia
C1417746;Neoplasms
C1332270;Skin appendage adenoma
C0020598;Hypocalcemia
C3850136;African race
C0018270;Mice Nude
C0332482;Abnormal shape
C3850137;Colorimetry
C1620101;Neoplasms
C1620102;MHC class I peptide loading complex
C1153522;Tumor cells malignant
C1416419;Patients
C0043210;RRH gene
C0476288;Digestive symptom
C1850473;Male population group
C0032568;Carcinogenesis
C1417752;Negative
C0043207;Chronic Obstructive Airway Disease
C0079280;Tumor Angiogenesis
C0079281;Discontinued
C0007590;DNA Replication
C0007591;Patients
C0007595;Colorectal Neoplasms
C1874451;Biliary stricture
C1332262;Patients
C1416427;Liver carcinoma
C1514925;Diploid Cell
C0021896;Morphine
C0006267;Colorectal Carcinoma
C0020564;Patients
C4288812;Renal Cell Carcinoma
C1416423;IMMT gene
C4288814;Metabolism
C1706912;Pneumonia
C0021890;Patients
C1428406;TFRC gene
C2743752;Histone deacetylase inhibitor
C0080274;geriatric patients
C0909826;fluorescein sodium
C0909825;Body tissue
C0476273;Patients
C1333585;Suppressor
C1416431;Neoplasms
C0006270;Adenoma
C1417767;RNA Small Interfering
C1333581;Cell Survival
C1417768;ABCB1 gene
C0019588;Symptoms
C1417769;Cultured Cell Line
C0019587;TJP1 gene
C0079278;Abdominal symptom
C1415106;Tumor tissue sample
C0586713;RPL5 gene
C0586714;Endoscopic biopsy
C1514918;Endoscopy (procedure)
C1416433;Malignant neoplasm of anus
C0586716;Quantitative PCR analysis
C1320286;Patients
C0080264;Axilla
C0369760;Organic acid (substance)
C1332257;Patients
C1332259;Anal canal adenocarcinoma
C1332243;general population
C1333574;Equilibrium
C1333573;RPL5 gene
C0019559;Male population group
C1332244;Patients
C0007570;Small intestine carcinoma
C0033860;Pathologic Processes
C0020541;Varicosity
C3539878;Patients
C1562590;Cancer Patient
C0007577;Immune response
C0596155;Peritoneum
C0007578;Protoplasm
C1176289;Mammary Neoplasms
C0728475;ultra
C1321585;Patients
C0236580;Laboratory Procedures
C3537219;Zinc Finger FYVE Domain-Containing Protein 9 human
C0080298;Proto-Oncogenes
C1332249;Ampulla of Vater Signet Ring Cell Carcinoma
C3887461;HPV-High Risk
C0019569;Rectum and sigmoid colon
C1334894;HCT116 Cells
C0007581;apoptosis signaling
C3179871;Programmed Cell Death Type II
C0007582;Embryonic Development
C0007584;RAB8A protein human
C0019564;Hippocampus (Brain)
C0007585;Organoids
C0007586;Biochemical Pathway
C0006255;Bronchi
C0019562;Islet Cell Tumor
C0007587;colon growth
C0019560;Hip Joint Implantable Prostheses (device)
C0007589;Ganglioneuroma
C3887460;High risk of
C0020557;Malignant tumor of small intestine
C4082178;ARHGEF1 gene
C0032529;leptin
C0020550;Malignant Neoplasms
C3898115;OVCAR-3
C2959722;Bcl-2-Like Protein 11 human
C0032520;Microsatellite Instability Analysis
C0032521;Colonic Diseases
C1417708;Tumor Necrosis Factor Receptor
C0018207;Homo sapiens
C1332223;Phosphorus Metabolism Disorders
C1417712;RAD51D gene
C0018203;Primary immune deficiency disorder
C4539740;Patients
C0249880;Cardiac Arrest
C0598798;Diffuse Large B-Cell Lymphoma
C0021851;Thickened
C0021852;aquaporin 3
C0006222;resveratrol
C0006223;Bromine
C0021853;Altered microbiota
C0596130;Persons
C0598790;Malignant neoplasm of lung
C0402000;Empowered
C3850141;Acute-On-Chronic Liver Failure
C0596138;autocrine
C0250870;Adenocarcinoma of large intestine
C0033844;Pseudotumor
C1334889;Notch Signaling Pathway
C0020538;Essential Hypertension
C0187067;Operative procedure on hand
C0006233;Cell Count
C3538559;2-Mercaptoethanesulfonic Acid
C0008897;Human Class I Antigens
C1956000;EPHB2 protein human
C0007569;Chronic obstruction
C3549205;Endothelial Cells
C1333530;Tumor tissue sample
C0020505;Obesity
C0021838;Mus
C0020507;Angiogenic Process
C0754727;Malignant Neoplasms
C0021839;Aspartate
C2957112;Folic Acid Transporters
C0007531;Laceration
C0596112;Asparagine
C1273428;Colorectal Cancer pT1 TNM Finding v6 and v7
C0260252;Emission spectroscopy
C0021833;Intestinal Fistula
C0021831;Long-Term Survivors
C0006205;Rectum
C0007537;Serum
C0333727;Area
C0671970;Hyalinosis Systemic
C0596119;Malignant Neoplasms
C0682638;Signal Transduction
C0682639;CISD2 gene
C1956061;TOLLIP protein human
C0333721;Magnification
C0813622;Serum
C0033822;ileum
C1333533;AKAP8 gene
C1319226;Symptoms
C0683962;Males
C1333535;FGF10 gene
C0021849;Body Fluids
C0021846;Animal Disease Models
C0020517;Animal Disease Models
C0598783;FABP4 gene
C0021847;Gliosis
C0260249;Tissue fiber
C2983415;Perianal
C1273412;Chronic radiation proctitis
C0021841;Intussusception
C0020510;Nodular hyperplasia
C1956064;Orotracheal intubation
C0597452;Cytometry
C0671983;Dysplasia
C0021845;Peritonitis
C0968181;Depressive disorder
C0021843;Malignant Female Reproductive System Neoplasm
C0006217;Caspase-Dependent Apoptosis
C1333527;Lipid Metabolism
C0683954;Patients
C0682625;Biliary Tract Cancer
C1333524;Liver
C0598754;Stromal Cells
C0597423;Colorectal Carcinoma
C0585479;Patients
C0008845;Citalopram
C1319200;Postoperative Complications
C2934490;PHA-793887
C3549253;high-risk group
C0033808;Pseudomonas
C0597427;CST3 gene
C0033809;Pseudomonas aeruginosa
C2610587;Mitogen-Activated Protein Kinases
C0682610;ileum
C0885297;Intestine - Large Intestine - Colon (MMHCC)
C0021826;cetuximab
C0008855;leupeptin
C0008858;Mitochondria
C0007528;Intussusception of colon
C0262880;Transmission Electron Microscopes
C0585462;Malignant neoplasm of sigmoid colon
C0585464;Adenocarcinoma of cecum
C0683939;Medical Devices
C0598766;Xenograft Model
C0683935;cancer therapy
C0872084;capsanthin-capsorubin synthase
C4321104;Body tissue
C1284117;Sigmoid colon
C0224522;Synoviocytes
C1537663;MARCH8 gene
C1537665;MARCKSL1 gene
C1562632;Sebaceous Gland Neoplasms
C1536338;Local excision
C0427245;Pain
C1319308;Eosinum eosin Homeopathic preparation
C1319309;Transection (procedure)
C1334941;Neoplastic Polyp
C1826700;B-Lymphocytes
C4072741;Intravenous contrast
C0729737;Patients
C1826706;Neoplasms
C0442893;Gingival Diseases
C0225861;Metric
C0872097;Non-Small Cell Lung Carcinoma
C0225860;Large Mass
C2923839;Risk level
C1319310;Liver damage
C1261473;Mus
C0008838;Metastatic Epidermoid Carcinomas
C1319312;Hemoglobin G
C1511022;BRCA1 Gene Mutation
C1333600;Transformation function
C1319315;Mice Nude
C0729707;Rectal artery
C2826588;Chronic Active Colitis
C3539812;Multiprotein Complexes
C1321605;Patients
C0717726;Mus
C2825250;Adoptive Immunotherapy
C0671870;Neuropeptides
C1956080;Vacuum-Assisted Closure
C1285478;Lesion
C1537647;Aggravated Colitis
C0008809;Antibiotics
C0682537;SPINK4 gene
C0442867;World
C0682533;Hybrids
C0872070;nucleocytoplasmic transport
C0766823;Carcinogenesis
C0872079;protein protein interaction
C0008810;Patients
C0872076;Mus
C3539807;Myosin Phosphatase Rho-Interacting Protein human
C1537657;ITK protein human
C0225844;Neoplasms
C0442876;Prostate
C0682524;ISOLATE COMPOUND
C0442874;Patients
C0163159;phthalates
C0682523;Interleukin-1 Receptor Accessory Protein
C3540820;Protein phosphorylation
C1826751;R3HCC1 gene
C0441519;Liver and Intrahepatic Biliary Tract Carcinoma
C3899478;Patients
C0153792;Stage III Hodgkin Lymphoma
C3815805;Foregut
C0126174;Pain
C3492700;1-(13-carboxypropyl)-47-carboxymethyl-147-triazacyclononane
C0441517;Patients
C0250850;Patients
C0441516;Radical prostatectomy
C1309950;Excretory function
C1826743;Malignant tumor of colon
C0537809;Serum
C0606070;Genetic Carriers
C3540815;CD4 Positive T Lymphocytes
C0872054;Epstein-Barr Virus Infections
C0069906;mRNA Expression
C1563937;Atherogenesis
C0236556;Alkaline Phosphatase
C0237881;Statistical Significance
C0596170;Neoplasms
C3540840;Observation - diagnostic procedure
C0596177;Biocompatibility
C0430879;Health care facility
C0392190;Intestines
C0694552;Patients
C0920184;Stomach Neoplasms
C0694551;Male population group
C1825409;Patients
C2611831;HCT116 Cells
C1550661;NDRG4 gene
C0682578;Stomach
C2103070;Disarticulation
C2333337;Serum
C1440080;Epithelium
C1753319;Ribosome Subunits Small Eukaryotic
C2103078;Colorectal Cancer pT1 TNM Finding v6 and v7
C0225883;Neoplasm Metastasis
C0441508;Extraction
C0441509;Control Groups
C0237865;Propensity to adverse reactions to drug
C0441503;Anorectal Treatment
C0441506;Absorbable suture
C1825468;Chronic Obstructive Airway Disease
C2611812;Tumor cells malignant
C1826797;REV1 gene
C0165747;lobaplatin
C1825459;Polyubiquitination
C0068613;Neoplasm Metastasis
C0524533;Patients
C1608426;Compensated Hepatic Cirrhosis
C1826785;Neoplasms
C1427067;Cessation of life
C0523207;Evaluation procedure
C1824114;Neoplasms
C1415098;GCLM gene
C1826778;protein expression
C1427079;Apoptosis
C0524528;22q13.3 Deletion Syndrome
C1166829;Patients
C1514964;epithelial to mesenchymal transition
C3813209;Patients
C0381424;Colorectal Carcinoma
C0574825;Sephardic Jew follower of religion
C1610733;Prostate-Specific Antigen
C0069966;palmitoleic acid
C1608408;Malignant cell transformation
C0056650;Glycosides
C1538907;Glutathione
C1608407;Patients
C0524516;Canis
C0861352;Communicable Diseases
C1514955;Cullin 1
C0887963;Toxic effect
C0201811;sigmoid polyp
C0887965;Experimental Animal Models
C0141783;Flavonoids
C0102137;CATALASE
C0070943;Choline phosphatase
C0608663;Colorectal Carcinoma
C4288754;Male population group
C1550600;Colorectal Carcinoma
C1537628;Child
C0056661;Mus
C0079304;Gastric Varix
C0070971;phthalocyanine
C1824182;Apoptosis
C1428348;Patients
C1441322;Escherichia coli
C1849402;Increased echogenicity
C0380162;antibody conjugate
C1824164;Ectopic Gene Expression
C1825497;Autophagy
C3273031;Woman
C1415047;Cancer-Associated Fibroblasts
C1825498;Autophagy
C1415053;Elevation procedure
C1416383;IL12RB1 gene
C0066005;Clostridium perfringens
C1416380;WNK1 protein human
C0887914;Eukaryotic Cells
C0079323;Cirrhosis
C1428361;Catenins
C0452221;Osteomyelitis of vertebra
C1512346;Comorbidity
C0043162;Whole-Abdominal Irradiation
C1416395;Tumor Microenvironment
C1415063;intrinsic apoptosis
C0524550;Nucleotide Excision Repair
C0441583;Liver neoplasms
C0043157;Caucasians
C0056696;Disease
C1537619;promoter
C1415068;Sulfoglycosphingolipids
C1511002;b cell differentiation
C1512335;D3 lymph node dissection
C0055367;Photochemotherapy
C0441587;Stent device
C0850666;Patients
C1416562;mRNA Expression
C0346957;Prostate
C0031164;Mitochondrial Membranes
C1442858;Kidney
C0018188;Granuloma
C0333641;Paresis
C1416567;ECM2 gene
C1417892;G1 to S Transition Process
C0332316;Patients
C0054048;Proto-Oncogene Proteins c-akt
C0080331;Social Networks
C0043144;Carcinoid Heart Disease
C0081660;mitogen-activated protein kinase p38
C0031150;Cellular Immunity
C0032483;Bowel preparation
C0031153;Carcinomatosis primary
C0031154;Mass of intestine
C0598864;Demethylation
C0344304;Abdomen distended
C0586854;Medical biochemist
C1427221;Squamous cell carcinoma of esophagus
C0332326;Gleason Grading System
C0597535;Success
C0032487;Intestinal cell
C1427224;Heart failure
C0346979;Treatment Protocols
C0031142;Hyperthermic Intraperitoneal Chemotherapy
C0346977;Malignant neoplasm of spleen
C0346976;Malignant neoplasm of pancreas
C0079366;Flow Cytometry
C0019494;Mannose
C1416589;mRNA Expression
C3813046;Malignant tumor of cervix
C0968086;RBM15 protein human
C1428560;Mammals
C1836296;Patients
C0346975;Male population group
C0836205;Necrosis
C1428567;Malignant Neoplasms
C0031148;Normal saline
C3840622;5 - 9
C0031149;secondary group
C3827687;Ellagic Acid
C3827688;Complication
C0032460;Non-alcoholic Fatty Liver Disease
C0043113;Endoscopic Submucosal Dissection
C3537183;cancer prevention
C0560268;Volume fraction
C0309989;Chemicals
C1836286;Patients
C0031133;Peristalsis
C1440204;Colorectal Carcinoma
C1704426;Platelet Glycoprotein 4 human
C0033799;MicroRNAs
C0982374;RICE BRAN
C0006160;Brenner Tumor
C0079380;Mismatch Repair Protein
C0019475;promoter
C1416526;JAG2 gene
C0078058;Patients
C0078056;Endothelial Cells
C1416521;ITSN2 gene
C0812252;Family
C1154744;GA-Binding Protein Transcription Factor
C0812253;epithelial to mesenchymal transition
C0043100;Weight
C0032456;Non-Small Cell Lung Carcinoma
C0346993;Invasive Carcinoma
C0032458;CYP1A1 gene
C0346991;Secondary malignant neoplasm of omentum
C1332397;Tumor cells malignant
C1417862;Fascia
C3813051;Long Term Survivorship
C0018154;Lactobacillales
C1415205;Squamous epithelium
C0333695;Alteration of chromosome structure
C0740277;Radicals (chemistry)
C0018150;Peptic Ulcer
C1417861;soluble
C0812241;AT 13387
C0031119;Neurilemmoma
C0812244;Receptors Tumor Necrosis Factor Member 10b
C0020473;Hyperlipidemia
C0812242;Colonic epithelium
C0033774;Pruritus Ani
C0033775;Dermatologic disorders
C0031117;Stage III Colon Cancer
C0752253;Growth Factor
C1415210;GPR15 gene
C1417874;Fluorodeoxyuridylate
C1416540;KARS gene
C0560219;Malignant neoplasm of mouth
C0007471;Probes
C0006141;Bilateral Mass
C1332381;Syndrome
C0006142;World
C0128818;RUNX2 gene
C2983588;Diet
C0006145;Breast Diseases
C0021775;Male population group
C0020443;Cholestatic liver disease
C0006147;Ability
C1622638;Ubiquitination
C0812230;Gene Expression
C0021770;Intermediate Filaments
C0812233;12-dipalmitoylphosphatidylglycerol
C0812231;WNT2 gene
C0752248;Colorectal Neoplasms
C0032433;Putrescine
C0812236;PTEN gene
C3346612;Dorcatragus megalotis
C0812235;Liposomes
C0344355;Head and Neck Carcinoma
C1428523;Chronic Obstructive Airway Disease
C0031106;Okadaic Acid
C1416552;Body tissue
C0272394;Chemotherapy Adjuvant
C1442823;oxaliplatin
C1442824;Liver carcinoma
C0006153;Lactulose
C1415229;Negative
C0018133;DPP4 protein human
C0020452;Hyperemia
C0079399;Gender
C0018131;Cohort
C0006159;Breeding
C0331053;Plant seeds
C0020456;Immune response
C0079394;Cyclin D1
C0020459;Insulin Resistance
C1415223;Severe (severity modifier)
C0812222;RPL4 gene
C0297674;Ellagic Acid
C0598801;Small Lesion
C1332379;BAK1 gene
C0812229;IL27 gene
C0812228;Hypoxia-Inducible Factor 1
C1427202;Membrane Transport Proteins
C0021758;Biologic Development
C0020429;Inflammation
C0007450;Felis catus
C1333690;SLC4A2 gene
C0006121;Colorectal Carcinoma
C0007452;Cattle
C0021753;MicroRNAs
C0007457;Pneumocystis jiroveci pneumonia
C0021756;Cellular Immunity
C0007458;Neoplasm Metastasis
C0021755;cytokine
C1298805;Anastomotic Leak
C0429821;Urethral closure mechanism
C1298802;Anastomotic Leak
C0272325;Patients
C0442804;External Beam Radiation Therapy
C0235378;Hepatotoxicity
C4082285;Insulin Receptor-Related Receptor human
C1333686;GNAZ gene
C0489461;Colorectal Carcinoma
C1417821;Patients
C1417825;bile acid metabolism
C0020431;Colon and Rectal Surgery (procedure)
C0318078;Ruminococcus gnavus
C0021764;Immunologic Factors
C0596286;Multiple malignancy
C0318074;PCSK7 gene
C0020437;Patients
C0442816;Normal limits
C2347948;Patients
C0021760;Secretory Immunoglobulin A
C0442811;Very low
C0334901;Clinical pathologist
C4082295;Tumor cells uncertain whether benign or malignant
C0032405;Glycolysis
C1704489;Colorectal Carcinoma
C0932050;Growth Factor
C1417835;Carcinogenesis
C0007430;Patients
C3898008;Palliative Radiation Therapy
C1416502;Injection
C0489479;Radiometry
C0006104;Low grade glioma
C0260314;Cystoscopy
C0006105;Dyspnea
C0033727;High-Risk Cancer
C0007439;Extraction
C0199171;Medical procedure
C3875321;Inflammatory dermatosis
C1417837;Colorectal Carcinoma
C0199176;Warming blanket
C1417839;Patients
C0199175;Persons
C1537486;mRNA Expression
C0596260;Esters
C1333664;Signal Transduction Pathways
C0021747;Immune Cell
C0019425;Disease
C0262967;Interventional procedure
C0006110;Donor person
C0006111;Brain Diseases
C0489488;Liver carcinoma
C0021740;IL17RE gene
C1416512;Colorectal Carcinoma
C0596263;Immune System Diseases
C0007447;neuronal
C0021743;MB21D1 gene
C0006118;monooxyethylene trimethylolpropane tristearate
C1318045;Persons
C0403229;Patients
C0033713;Negative
C1333652;G6PD gene
C0596235;Cancer Stem Cells
C0596233;KLK1 gene
C0740201;Neoplasms
C0007412;Catecholamines
C1563761;Chronic Obstructive Airway Disease
C3850088;Complement C5a
C1970246;Angiogenic Process
C0729890;Residual Tumor
C0596237;cancer complication
C0007422;Cathartics
C0597573;Lymphoma
C0021721;Intercellular Junctions
C0596240;Cancer Pain
C0007427;Hepatitis B
C1621396;Mitochondria
C2347900;Best Overall Response
C3850096;Cellular Reprogramming
C1334977;Non functioning pancreatic endocrine tumor
C0222084;Secondary malignant neoplasm of skin
C3850063;Biliary Elimination
C0405832;patient is female
C4084880;Disease
C0334957;Research Personnel
C1334966;Hereditary Nonpolyposis Colorectal Cancer
C0021708;Hospitals
C0596223;brca gene
C0008732;iatrogenic injury
C0008731;physiological aspects
C0021701;Biological Factors
C3850077;Drug Liberation
C0007407;Chronic abdominal pain
C1620047;FKBP12-rapamycin associated protein
C3850079;Appendiceal mucinous neoplasm
C0596227;british
C1262869;removal technique
C1260204;Pharmaceutical Preparations
C1825500;Body tissue
C1825502;ATG16L1 gene
C1825503;Autophagy
C1826836;Wnt Signaling Pathway
C0442760;3/9
C0935989;Administration Oral
C3275700;Hepatic inflammation
C0225972;Body Fluids
C0393386;Patients
C1285572;Immunocytochemistry
C1285573;Microspheres
C1512249;Laparoscopic hysterectomy
C0199230;Anus
C1332402;Mouse Model
C4321237;Proteinuria
C0681331;Core needle biopsy
C1095906;Malignant Neoplasms
C0379099;diphyllin
C1512233;Candidate Disease Gene
C0429770;Organs at Risk
C0960938;red fluorescent protein
C0429774;Residual urine volume
C0237962;Curative Surgery
C0199220;Anoscopy
C1514892;ATP-Binding Cassette Transporters
C1333723;GTF2H1 gene
C1536220;Myocardial Infarction
C1537528;Neoplasms
C0679006;Cohort
C0430797;Cohort
C1057625;Oils Volatile
C0683983;European American
C0442748;6/4
C0442749;Incontinence
C1273551;High risk factors
C1273550;Crotoxin
C0683971;Cessation of life
C0442751;Male population group
C0163275;Cancer-Associated Fibroblasts
C1320408;Patients
C2825146;Aversion
C2347883;Radiation
C2825142;Social Networks
C0428462;Malignant neoplasm of prostate
C3657270;stage IV non-small cell lung cancer
C1538866;Ubiquitination
C1031004;IMPACT gene
C4321251;CYCS wt Allele
C0442757;Anastomotic Leak
C4321252;WWOX wt Allele
C1826879;Body tissue
C2608320;Patients
C1307407;Gene Expression Regulation
C0262950;Secondary malignant neoplasm of bone
C1512286;Gynecologic Oncologist
C0249989;Combined Modality Therapy
C0887899;Inflammasomes
C0429742;Radionuclide Imaging
C0442726;Endoscopic Ultrasound
C0212694;Proteins
C1742799;Splenda
C0887892;Membrane Proteins
C1825534;Ranitidine
C2347861;Patients
C0262941;myofasciitis
C1824201;Patients
C3539704;MTR wt Allele
C1837514;Malignant Neoplasms
C0596290;Chemotaxis
C0068704;RNA Small Interfering
C0933344;Excision biopsy
C0222001;Atrophic
C0694675;Veins
C0068707;Extracellular
C0596295;cellular pathology
C0887872;Cell Communication
C1260298;Immune response
C3899376;Validation
C1537569;LGR4 gene
C3539739;Carcinogenesis
C0222007;Atrophic
C4084801;Biopsy
C0887870;Adaptor Proteins Signal Transducing
C0235329;Dermoid cyst of ovary
C1825511;HMCN2 gene
C0262926;Outpatients
C0235328;Sigmoid Neoplasms
C0235326;Patients
C0680022;member
C2359826;Pilomatrixoma
C1308727;SNAP receptor
C0056730;Tumor cells malignant
C1537570;beta catenin
C0235325;Patients
C1825588;IKZF1 gene
C0850572;Colonic Diseases
C1415199;Malignant neoplasm of oropharynx
C0586905;Pediatric surgeon
C1415195;GPC3 gene
C1415193;Glypican
C1490417;Microorganism
C0332397;tomography
C0680091;Adenomatous Polyposis Coli
C0586901;Colorectal surgeon
C4264624;Persons
C0332393;treatment failure
C0201925;Electroporation
C0056744;macromolecule
C1514821;Primary Health Care
C0812297;Growth
C0201927;Hematologic Tests
C1825577;mRNA methylation
C1825578;IGF2BP3 wt Allele
C1825579;Adenocarcinoma
C0537969;TRIM25 gene
C1441471;Regulators (device)
C0680085;early adulthood
C0935912;Synchronous Lesion
C1514815;Adult
C1825575;Neoplasms
C1825576;IGF2BP1 gene
C0812284;Cohort
C0812287;TRANSCRIPTION FACTOR
C0043094;Spleen
C0343055;Radiation
C0679083;Operative Surgical Procedures
C4288612;Indocyanine Green
C0068742;Dysentery
C0812281;Non-Small Cell Lung Carcinoma
C0524645;Marines
C0812271;Neoplasms
